review_id,bucket,username,display_name,account_id,target_community_short_name,target_community_id,suggested_contrasts,expected_judgment,grok_tpot_status,grok_top_communities,grok_confidence,grok_bridge_account,grok_rationale,human_judgment,human_confidence,human_note
core-ai-creativity-abrakjamson,core,abrakjamson,Abram Jackson,485129361,AI-Creativity,75253db7-a0b3-4056-bb8d-5c15124c20c9,,in,,,,,,,,
core-ai-safety-nunosempere,core,NunoSempere,Nuño Sempere,1033457034308608006,AI-Safety,0a924ce4-c724-4e19-8941-b0776fc497e5,,in,,,,,,,,
core-collective-intelligence-technoshaman,core,technoshaman,George Pór #StandWithUkraine,14349449,Collective-Intelligence,1258b4fc-ae72-49ca-a2eb-7aacda9a2763,,in,,,,,,,,
core-contemplative-nowtheo,core,nowtheo,theo,1323353574064021506,Contemplative-Practitioners,3839f31d-fafb-4007-a83c-7f59b3fa9b24,,in,,,,,,,,
core-core-tpot-realpilleater,core,realpilleater,pilleater,714496340592627712,Core-TPOT,b6d646a2-203e-43c3-940b-22c9a4d55c3c,,in,,,,,,,,
core-highbies-lithros,core,Lithros,Scott Hansen,16317611,highbies,2f55a25a-db7d-4748-8373-b7034edc4f91,,in,,,,,,,,
core-internet-intellectuals-drmaciver,core,DRMacIver,David R. MacIver,14368342,Internet-Intellectuals,2697d395-dea5-49ae-8d0a-192d52277ec4,,in,,,,,,,,
core-llm-whisperers-v01dpr1mr0s3,core,v01dpr1mr0s3,jake,1429923238751186950,LLM-Whisperers,7152b213-75b3-4951-8b37-1616a5a33030,,in,,,,,,,,
core-nyc-institution-builders-danielgolliher,core,danielgolliher,Daniel Golliher 🗽,2691903487,NYC-Institution-Builders,5c597db1-22cc-4353-9f3d-fc9bc54d0342,,in,,,,,,,,
core-qualia-archived-videos,core,archived_videos,archivedvideos,1605436569384534017,Qualia-Research,d022d0f8-72c3-4c60-80ce-3305d9f1d758,,in,,,,,,,,
core-queer-tpot-annieposting,core,AnniePosting,annie 👁❌🦋🪞,1349804574656249858,Queer-TPOT,a5a01615-c3cf-4434-a029-3d5026802d56,,in,,,,,,,,
